mid,country,market,market_loc,name,lat,lon
163,Somalia,Garowe,"Garowe, Somalia",NA,8.4084158,48.4837239
164,Somalia,Hargeisa  ,"Hargeisa  , Somalia",NA,9.562389,44.0770134
165,Somalia,Jamame,"Jamame, Somalia",NA,0.0668528,42.7442571
166,Somalia,Jilib,"Jilib, Somalia",NA,0.4919195,42.778437
167,Somalia,Jowhar,"Jowhar, Somalia",NA,2.7774231,45.5016253
168,Somalia,Kismayo,"Kismayo, Somalia",NA,-0.3560455,42.5460573
169,Somalia,Lasanod,"Lasanod, Somalia",NA,8.475987,47.3657603
170,Somalia,Lugh,"Lugh, Somalia",NA,3.8131083,42.5460573
171,Somalia,Merka,"Merka, Somalia",NA,1.8303572,44.813111
172,Somalia,Mogadishu,"Mogadishu, Somalia",Bakara,2.0469343,45.3181623
173,Somalia,Qorioley,"Qorioley, Somalia",NA,1.7880873,44.5290018
174,Somalia,Tog-Wajale,"Tog-Wajale, Somalia",NA,9.6030127,43.3415357
175,Somalia,Wanle Weyne,"Wanle Weyne, Somalia",NA,2.6195588,44.8949683
176,South Sudan,Aweil,"Aweil, South Sudan",NA,8.7670867,27.3998369
177,South Sudan,Bor,"Bor, South Sudan",NA,6.2132663,31.5655424
178,South Sudan,Juba,"Juba, South Sudan",Konyokonyo,4.859363,31.57125
179,South Sudan,Kapoeta,"Kapoeta, South Sudan",NA,4.7713162,33.5923941
180,South Sudan,Malakal,"Malakal, South Sudan",NA,9.5279875,31.6682347
181,South Sudan,Wau,"Wau, South Sudan",NA,7.7091884,27.9834738
182,Sudan,Ad-Damazin,"Ad-Damazin, Sudan",NA,11.785454,34.3421397
183,Sudan,Al Qadarif,"Al Qadarif, Sudan",NA,14.024307,35.3685679
184,Sudan,Dongola,"Dongola, Sudan",NA,19.1461403,30.4703258
185,Sudan,El Fasher,"El Fasher, Sudan",NA,13.6197501,25.3548713
186,Sudan,El Obeid,"El Obeid, Sudan",NA,13.1782149,30.2166519
187,Sudan,Geneina,"Geneina, Sudan",NA,13.447898,22.4649083
188,Sudan,Kaduqli,"Kaduqli, Sudan",NA,11.0105443,29.7136456
189,Sudan,Khartoum,"Khartoum, Sudan",Om Durman,15.5006544,32.5598994
190,Sudan,Nyala,"Nyala, Sudan",NA,12.0518011,24.8804853
191,Sudan,Port Sudan,"Port Sudan, Sudan",Red Sea,19.5903471,37.1901616
192,Tanzania,Arusha,"Arusha, Tanzania",NA,-3.3869254,36.6829927
193,Tanzania,Dar es Salaam,"Dar es Salaam, Tanzania",NA,-6.792354,39.2083284
194,Tanzania,Dodoma,"Dodoma, Tanzania",NA,-6.162959,35.7516069
195,Tanzania,Iringa,"Iringa, Tanzania",NA,-7.768059,35.6860723
196,Tanzania,Kigoma,"Kigoma, Tanzania",NA,-4.8824092,29.6615055
197,Tanzania,Lindi,"Lindi, Tanzania",NA,-9.9876076,39.6982485
198,Tanzania,Mbeya,"Mbeya, Tanzania",NA,-8.9094014,33.4607744
199,Tanzania,Moduli,"Moduli, Tanzania",NA,-3.2958686,36.4526678
200,Tanzania,Mtwara,"Mtwara, Tanzania",NA,-10.3112236,40.1759806
201,Tanzania,Mwanza,"Mwanza, Tanzania",NA,-2.5164305,32.9174517
202,Tanzania,Ngorongoro,"Ngorongoro, Tanzania",NA,-3.2415439,35.4877778
203,Tanzania,Songea,"Songea, Tanzania",NA,-10.6462694,35.6423527
204,Tanzania,Tanga,"Tanga, Tanzania",NA,-5.0888751,39.1023228
205,Togo,Dapaong,"Dapaong, Togo",NA,10.8733058,0.2010233
206,Togo,Kara,"Kara, Togo",NA,9.5486112,1.1977158
207,Uganda,Arua,"Arua, Uganda",NA,3.0303299,30.907304
208,Uganda,Gulu,"Gulu, Uganda",NA,2.7724038,32.2880726
209,Uganda,Kampala,"Kampala, Uganda",NA,0.3475964,32.5825197
210,Uganda,Lira,"Lira, Uganda",NA,2.2580829,32.8874067
211,Uganda,Masindi,"Masindi, Uganda",NA,1.6873134,31.7138458
212,Uganda,Soroti,"Soroti, Uganda",NA,1.7131812,33.6063855
213,Uganda,Tororo,"Tororo, Uganda",NA,0.6782274,34.1865669
214,Zambia,Chipata,"Chipata, Zambia",NA,-13.6445104,32.6447001
215,Zambia,Choma,"Choma, Zambia",NA,-16.8054223,26.9970153
216,Zambia,Kabwe,"Kabwe, Zambia",NA,-14.4285061,28.451357
217,Zambia,Kasama,"Kasama, Zambia",NA,-10.2290555,31.193945
218,Zambia,Kitwe,"Kitwe, Zambia",NA,-12.8231947,28.2175744
219,Zambia,Lusaka,"Lusaka, Zambia",NA,-15.3875259,28.3228165
220,Zambia,Mansa,"Mansa, Zambia",NA,-11.1892053,28.8888064
221,Zambia,Mongu,"Mongu, Zambia",NA,-15.2735504,23.1501117
222,Zambia,Solwezi,"Solwezi, Zambia",NA,-12.1668712,26.3839765
223,Zimbabwe,Bulawayo,"Bulawayo, Zimbabwe",Renkini ,-20.1325066,28.626479
224,Zimbabwe,Gwanda,"Gwanda, Zimbabwe",Gwanda town,-20.9398233,29.0110762
225,Zimbabwe,Gweru,"Gweru, Zimbabwe",Kombayi,-19.468531,29.8120795
226,Zimbabwe,Harare,"Harare, Zimbabwe",Mbare,-17.8251657,31.03351
227,Zimbabwe,Masvingo,"Masvingo, Zimbabwe",Mucheke,-20.0791909,30.8384093
228,Zimbabwe,Mutare,"Mutare, Zimbabwe",Sakubva,-18.9757714,32.650351
229,NA,NA,"NA, NA",NA,-22.95764,18.49041
